2026-04-11T12:10:17.465-04:00 [gateway] loading configuration…
2026-04-11T12:10:17.546-04:00 [gateway] resolving authentication…
2026-04-11T12:10:17.616-04:00 [gateway] starting...
2026-04-11T12:10:18.755-04:00 [gateway] starting HTTP server...
2026-04-11T12:10:18.778-04:00 [canvas] host mounted at http://127.0.0.1:18789/__openclaw__/canvas/ (root C:\Users\dal_n\.openclaw\canvas)
2026-04-11T12:10:18.850-04:00 [gateway] MCP loopback server listening on http://127.0.0.1:53097/mcp
2026-04-11T12:10:19.672-04:00 [heartbeat] started
2026-04-11T12:10:19.681-04:00 [health-monitor] started (interval: 300s, startup-grace: 60s, channel-connect-grace: 120s)
2026-04-11T13:58:33.244-04:00 [ws] ⇄ res ✓ node.list 64ms conn=ae67026c…628c id=0ca45a67…6e35
2026-04-11T14:00:55.545-04:00 [ws] ⇄ res ✓ config.get 74ms conn=ae67026c…628c id=6c81f7ac…9da3
2026-04-11T14:02:01.592-04:00 [ws] webchat disconnected code=1001 reason=n/a conn=ae67026c-15b5-401f-bbc9-deff3c33628c
2026-04-11T14:02:02.232-04:00 [ws] webchat connected conn=f22bc954-ebde-4f74-8c06-dd57de6d7663 remote=::1 client=openclaw-control-ui webchat vcontrol-ui
2026-04-11T14:02:06.149-04:00 [ws] ⇄ res ✓ config.get 68ms conn=f22bc954…7663 id=ff300287…9190
2026-04-11T14:35:04.769-04:00 [ws] ⇄ res ✓ node.list 54ms conn=f22bc954…7663 id=5d040c9c…857d
2026-04-11T15:09:48.789-04:00 [ws] ⇄ res ✓ node.list 97ms conn=f22bc954…7663 id=14e8237a…ff0c
2026-04-11T15:10:25.531-04:00 [ws] ⇄ res ✓ node.list 667ms conn=f22bc954…7663 id=c46acaa6…6376
2026-04-11T16:18:46.324-04:00 [ws] ⇄ res ✓ node.list 83ms conn=f22bc954…7663 id=a973bbfa…3813
2026-04-11T16:40:21.366-04:00 [ws] ⇄ res ✓ node.list 94ms conn=f22bc954…7663 id=38cda904…058b
2026-04-11T18:01:40.639-04:00 [ws] ⇄ res ✓ node.list 82ms conn=f22bc954…7663 id=4939f133…7322
2026-04-11T18:34:32.946-04:00 [ws] ⇄ res ✓ node.list 69ms conn=f22bc954…7663 id=ab997db0…06a6
2026-04-11T19:01:20.650-04:00 [reload] config change detected; evaluating reload (models.providers.custom-i24d-whatsapp-ai-onrender-com.baseUrl)
2026-04-11T19:01:20.990-04:00 [reload] config hot reload applied (models.providers.custom-i24d-whatsapp-ai-onrender-com.baseUrl)
2026-04-11T19:07:54.525-04:00 [ws] ⇄ res ✓ node.list 62ms conn=f22bc954…7663 id=f2856055…7ded
